Land,AGS,Landkreis,Wahlberechtigte,Wähler,Ungültige.Erststimmen,Gültige.Erststimmen,CDU.Erststimmen,SPD.Erststimmen,FDP.Erststimmen,DIE LINKE.Erststimmen,GRÜNE.Erststimmen,CSU.Erststimmen,PIRATEN.Erststimmen,NPD.Erststimmen,Tierschutzpartei.Erststimmen,REP.Erststimmen,ÖDP.Erststimmen,FAMILIE.Erststimmen,Bündnis 21/RRP.Erststimmen,RENTNER.Erststimmen,BP.Erststimmen,PBC.Erststimmen,BüSo.Erststimmen,DIE VIOLETTEN.Erststimmen,MLPD.Erststimmen,"Volksabstimmung.Erststimmen",AfD.Erststimmen,BIG.Erststimmen,pro Deutschland.Erststimmen,FREIE WÄHLER.Erststimmen,PARTEI DER VERNUNFT.Erststimmen,Die PARTEI.Erststimmen,B.Erststimmen,BGD.Erststimmen,DKP.Erststimmen,NEIN!.Erststimmen,Übrige.Erststimmen,Ungültige.Zweitstimmen,Gültige.Zweitstimmen,CDU.Zweitstimmen,SPD.Zweitstimmen,FDP.Zweitstimmen,DIE LINKE.Zweitstimmen,GRÜNE.Zweitstimmen,CSU.Zweitstimmen,PIRATEN.Zweitstimmen,NPD.Zweitstimmen,Tierschutzpartei.Zweitstimmen,REP.Zweitstimmen,ÖDP.Zweitstimmen,FAMILIE.Zweitstimmen,Bündnis 21/RRP.Zweitstimmen,RENTNER.Zweitstimmen,BP.Zweitstimmen,PBC.Zweitstimmen,BüSo.Zweitstimmen,DIE VIOLETTEN.Zweitstimmen,MLPD.Zweitstimmen,Volksabstimmung.Zweitstimmen,PSG.Zweitstimmen,AfD.Zweitstimmen,BIG.Zweitstimmen,pro Deutschland.Zweitstimmen,DIE RECHTE.Zweitstimmen,DIE FRAUEN.Zweitstimmen,FREIE WÄHLER.Zweitstimmen,"Nichtwähler.Zweitstimmen",PARTEI DER VERNUNFT.Zweitstimmen,Die PARTEI.Zweitstimmen
BW,8335,Konstanz,202393,147557,1907,145650,75524,27956,5476,5980,19322,0,3198,1237,0,0,1105,0,0,0,0,0,0,0,0,0,5852,0,0,0,0,0,0,0,0,0,0,1741,145816,63563,29504,10735,7295,18446,0,3190,1116,1180,199,661,0,0,335,0,230,20,0,43,384,0,8027,49,89,0,0,649,0,101,0
BW,8336,Lörrach,162569,114355,1661,112694,56183,27530,2784,4503,13207,0,2765,1367,0,0,0,0,0,0,0,0,0,0,0,0,4355,0,0,0,0,0,0,0,0,0,0,1555,112800,48679,24930,6324,5513,13853,0,2630,1137,959,404,296,0,0,327,0,425,14,0,41,386,0,6075,46,88,0,0,570,0,103,0
BW,8337,Waldshut,119277,84187,1582,82605,42160,24182,2954,3574,7256,0,0,1204,0,0,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,82932,41906,15636,4668,3461,7982,0,1520,653,537,556,474,0,0,199,0,164,14,0,21,232,0,4096,36,60,0,0,655,0,62,0
BW,8415,Reutlingen,199091,150014,1883,148131,76870,29859,5665,5966,18399,0,0,1764,0,0,794,0,0,0,0,0,0,0,296,0,6435,0,0,1119,0,0,0,0,0,0,964,1992,148022,68394,28558,10441,7089,16195,0,3267,1517,962,543,505,0,0,346,0,314,23,0,139,324,0,8245,71,104,0,0,875,0,110,0
BW,8416,Tübingen,156792,123896,1385,122511,54828,25255,2797,8343,22548,0,3689,1085,0,0,0,0,0,0,0,0,0,0,0,0,3966,0,0,0,0,0,0,0,0,0,0,1105,122791,49235,25676,6728,8483,19986,0,3388,894,838,323,527,0,0,208,0,293,21,0,80,203,0,5288,66,73,0,0,389,0,92,0
BW,8417,Zollernalbkreis,139507,99595,1932,97663,57435,18882,2363,4369,7500,0,713,2217,0,0,652,0,0,0,0,0,0,0,414,0,1115,0,0,2003,0,0,0,0,0,0,0,1357,98238,49690,18019,5811,4511,7682,0,2217,1609,800,429,332,0,0,253,0,252,28,0,185,239,0,5177,39,106,0,0,734,0,125,0
BW,8421,"Ulm, Universitätsstadt",81980,60551,734,59817,26174,16796,1822,2799,7466,0,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,0,518,0,0,0,0,0,0,537,541,60010,24549,14107,3352,3348,7900,0,1868,460,440,128,242,0,0,142,0,80,10,0,69,110,0,2733,39,44,0,0,346,0,43,0
BW,8425,Alb-Donau-Kreis,138722,106648,1419,105229,59810,22525,2549,3213,8575,0,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,3999,0,0,1142,0,0,0,0,0,0,811,1190,105458,55821,19325,5310,3739,9123,0,2207,1287,718,425,482,0,0,280,0,264,36,0,45,232,0,5106,56,103,0,0,801,0,98,0
BW,8426,Biberach,142958,106307,1879,104428,61306,21261,2282,3437,9331,0,2963,0,0,0,1579,0,0,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,0,1439,104868,59140,15723,5104,3478,9322,0,2198,917,714,543,904,0,0,285,0,181,24,0,15,246,0,4481,51,88,0,0,1338,0,116,0
BW,8435,Bodenseekreis,155758,117899,1749,116150,61623,24510,4704,5295,13181,0,2601,1450,0,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,1321,116578,56218,21528,7527,5181,13799,0,2396,969,854,267,825,0,0,246,0,144,19,0,49,335,0,5242,34,69,0,0,788,0,88,0
BW,8436,Ravensburg,205820,151288,1882,149406,78546,29434,3605,5000,19721,0,3209,1252,0,0,3161,0,0,0,0,0,0,0,0,0,3674,0,0,1481,0,0,0,0,0,0,323,1562,149726,75678,25357,7794,6367,18136,0,3142,1309,1062,474,2244,0,0,328,0,259,27,0,65,347,0,5791,44,102,0,0,1079,0,121,0
BW,8437,Sigmaringen,96517,69979,1367,68612,42767,11302,1518,2791,6274,0,224,1156,0,0,637,0,0,0,0,0,0,0,130,0,0,0,0,1813,0,0,0,0,0,0,0,1035,68944,37883,10766,3621,2633,6474,0,1318,770,523,391,350,0,0,151,0,103,20,0,30,134,0,2958,16,53,0,0,683,0,67,0
BY,9161,"Ingolstadt, Stadt",90203,55942,421,55521,0,10219,1465,3061,4735,30879,1418,0,0,0,831,0,0,0,0,0,0,0,0,0,1684,0,0,1008,0,221,0,0,0,0,0,459,55483,0,10751,3025,2654,4246,27991,1214,397,362,298,672,0,18,0,430,0,4,69,10,0,0,2093,0,38,0,88,1059,0,64,0
BY,9162,"München, Landeshauptstadt",917148,653205,4818,648387,0,189666,24303,24597,73212,281849,17106,4027,0,0,10416,0,0,0,2080,0,800,0,164,0,4661,0,735,14539,0,0,0,0,0,0,232,2989,650216,0,155522,50130,29872,91401,245767,16353,2550,4506,1114,6307,0,186,0,4225,0,210,892,268,0,0,29244,0,506,0,949,9673,0,541,0
BY,9163,"Rosenheim, Stadt",41491,26904,246,26658,0,4261,727,859,2615,13937,812,0,0,483,406,0,0,0,480,0,28,0,0,0,1186,0,0,811,0,0,0,0,0,0,53,196,26708,0,4758,1363,1051,2495,12910,605,123,208,341,362,0,4,0,396,0,12,33,6,0,0,1406,0,13,0,50,534,0,38,0
BY,9171,Altötting,82824,55235,483,54752,0,8531,1293,1403,2906,35331,1074,0,0,0,0,0,0,0,0,0,263,452,0,0,1742,0,0,1757,0,0,0,0,0,0,0,492,54743,0,8988,2131,1670,3142,31675,950,306,331,277,560,0,17,0,602,0,86,215,9,0,0,2210,0,42,0,119,1339,0,74,0
BY,9172,Berchtesgadener Land,74581,49948,591,49357,0,8470,1130,1313,4280,30871,974,0,0,894,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,49497,0,7241,2153,1430,4087,28797,711,273,310,372,623,0,10,0,457,0,8,67,5,0,0,1785,0,21,0,58,1041,0,48,0
BY,9173,Bad Tölz-Wolfratshausen,91686,65738,844,64894,0,11524,3323,2135,4854,35563,1488,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,4824,0,0,0,0,0,0,0,527,65211,0,9378,3600,1849,5387,34821,1042,315,465,162,733,0,17,0,1147,0,13,183,10,0,0,3643,0,64,0,86,2210,0,86,0
